"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType"
"LocalSystem","Adobe Genuine Software Integrity Service","False","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGSService.exe""","Automatic","AGSService","System.ServiceProcess.ServiceController[]","False","True","True","Adobe Genuine Software Integrity Service","System.ServiceProcess.ServiceController[]",".","AGSService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"NT AUTHORITY\LocalService","ローカル AllJoyn クライアントの AllJoyn メッセージをルーティングします。このサービスが停止している場合、バンドルされた独自のルーターを持たない AllJoyn クライアントは実行することができなくなります。","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","AllJoyn Router Service","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"NT AUTHORITY\LocalService","インターネット接続共有に使用する、サード パーティのプロトコル プラグイン用のサポートを提供します。","False","C:\WINDOWS\System32\alg.exe","Manual","ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess"
"localSystem"," IIS に構成履歴やアプリケーション プール アカウントのマッピングなどの管理サービスを提供します。このサービスが停止されると、構成履歴およびアプリケーション プール固有のアクセス制御エントリを使用したファイルやディレクトリの制限が機能しなくなります。","False","C:\WINDOWS\system32\svchost.exe -k apphost","Automatic","AppHostSvc","System.ServiceProcess.ServiceController[]","True","True","True","Application Host Helper Service","System.ServiceProcess.ServiceController[]",".","AppHostSvc","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess"
"NT Authority\LocalService","アプリケーションの ID を判定および検証します。このサービスを無効にすると、AppLocker が適用されなくなります。","False","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","追加の管理者特権による対話型アプリケーションの実行を容易にします。このサービスが停止されると、ユーザー タスクの実行に必要となる可能性のある追加の管理者特権でアプリケーションを起動することはできません。","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess"
"LocalSystem","Provides the interface to Apple mobile devices.","False","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe""","Automatic","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]","False","False","True","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]",".","Apple Mobile Device Service","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess"
"LocalSystem","グループ ポリシーで展開されるソフトウェアに対する、プロセスのインストール、削除および列挙の要求です。サービスが無効な場合、ユーザーはグループ ポリシーで展開されるソフトウェアをインストール、削除または列挙することができません。また、明示的にこのサービスに依存しているサービスを開始することもできません。","False","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manual","AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","ユーザーがこの PC に初めてサインインしたときや新しいアプリを追加したときにアプリを使用できるよう準備します。","False","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p","Manual","AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess"
"LocalSystem","Manages App-V users and virtual applications","False","C:\WINDOWS\system32\AppVClient.exe","Disabled","AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]","Disabled",,"Stopped","Win32OwnProcess"
